treatment,day-no,attribute,conditioned-on,majority-yes,majority-no,minority-yes,minority-no,p-value
ace-inhibitor,1-5,race,no-c-shock,249,366,59,68,0.2198365296755616
statin,1,sex,,114,88,35,29,0.8287642583911602
statin,1,sex,c-shock,8,8,5,8,0.6092491007458023
statin,1,sex,no-c-shock,106,80,30,21,0.8438588226563452
statin,1,race,,92,61,18,13,0.9088860199212875
statin,1,race,c-shock,7,8,3,0,0.10235522814110036
statin,1,race,no-c-shock,85,53,15,13,0.5714537102431372
statin,2,sex,,144,58,44,20,0.7554837170163407
statin,2,sex,c-shock,13,3,6,7,0.05270885038597146
statin,2,sex,no-c-shock,131,55,38,13,0.6012173907270841
statin,2,race,,118,35,21,10,0.3164744668299448
statin,2,race,c-shock,10,5,3,0,0.28206175540232803
statin,2,race,no-c-shock,108,30,18,10,0.11866728441114997
statin,3,sex,,138,63,42,20,0.9090282656813431
statin,3,sex,c-shock,11,5,5,6,0.3299047557806896
statin,3,sex,no-c-shock,127,58,37,14,0.606885312944227
statin,3,race,,113,39,21,10,0.48191771982080533
statin,3,race,c-shock,10,4,3,0,0.34112637725939976
statin,3,race,no-c-shock,103,35,18,10,0.2808115842957485
statin,4,sex,,91,83,29,22,0.6185569060452489
statin,4,sex,c-shock,9,7,5,3,0.8331300961827821
statin,4,sex,no-c-shock,82,76,24,19,0.7201775316219674
statin,4,race,,84,46,16,11,0.614515903727123
statin,4,race,c-shock,9,4,3,0,0.3443835929816998
statin,4,race,no-c-shock,75,42,13,11,0.420412929454213
statin,5,sex,,68,49,24,17,0.9953314041483561
statin,5,sex,c-shock,7,9,5,3,0.5249488393948236
statin,5,sex,no-c-shock,61,40,19,14,0.7875381551261986
statin,5,race,,62,35,16,6,0.4662996641338613
statin,5,race,c-shock,7,6,3,0,0.16215045646682763
statin,5,race,no-c-shock,55,29,13,6,0.8492535778406155
statin,1-5,sex,,555,341,174,108,0.9492272183493689
statin,1-5,sex,c-shock,48,32,26,27,0.2637640570988145
statin,1-5,sex,no-c-shock,507,309,148,81,0.511647381698497
statin,1-5,race,,469,216,92,50,0.40248339212784673
statin,1-5,race,c-shock,43,27,15,0,0.003785081154435592
statin,1-5,race,no-c-shock,426,189,77,50,0.05903352406518155
